what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985162235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985166959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985168334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985175419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1483985176951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483985179780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985182476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985189191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483985190064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1483985191555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985193783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985203041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483985204667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1483985213500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483985218100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483985220290
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483985245570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985260071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985356651
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1483985358163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985361146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985375444
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483985382668
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1483985389445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985393144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985657807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483985663702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483988161868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483988477506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483988583423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483988588024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483988589246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483995295112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483995298209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483995341765
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483995341828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483995346038
